,CountyName,State,RegionName,RegionCount
74,Aransas County,TX,[78382 78358],2
75,Arapahoe County,CO,"[80013 80015 80016 80012 80014 80011 80112 80010 80017 80111 80120 80122
 80113 80110 80121 80018 80019 80103 80105 80137]",20
76,Archer County,TX,[76366 76351 76389 76379 76370],5
77,Archuleta County,CO,[81147 81121 81128],3
78,Arenac County,MI,[48658 48703 48610 48659 48766 48749 48765],7
79,Arkansas County,AR,[72160 72042 72073 72055 72003 72026 72140 72166 72048 72038 72133],11
80,Arlington County,VA,[22204 22201 22202 22203 22207 22206 22209 22205 22213],9
81,Armstrong County,PA,"[16201 16226 16229 16242 16262 16222 16249 16259 16240 15673 16218 16210
 15686 15736 16238 16228 16212 16263 16236 16250 16244 16223 16245 16253
 15682]",25
82,Armstrong County,TX,[79019 79094],2
83,Aroostook County,ME,"[4730 4736 4769 4743 4756 4742 4785 4757 4750 4732 4786 4758 4740 4739
 4747 4424 4776 4773 4763 4772 4471 4760 4774 4735 4780 4781 4761 4783
 4768 4762 4779 4746 4497 4766 4733]",35
84,Ascension Parish,LA,[70737 70769 70346 70774 70734 70778 70725],7
85,Ashe County,NC,[28694 28640 28643 28626 28684 28615 28617 28644 28693 28631 28629 28672],12
86,Ashland County,OH,[44805 44842 44864 44840 44880 44866 44859 44838 44874 44848],10
87,Ashland County,WI,[54806 54514 54546 54527 54855 54846 54517],7
88,Ashley County,AR,[71635 71646 71642 71663 71658 71676 71661],7
89,Ashtabula County,OH,"[44004 44041 44030 44047 44003 44076 44084 44085 44048 44010 44099 44032
 44082 44093 44068]",15
90,Asotin County,WA,[99403 99402 99401],3
91,Assumption Parish,LA,[70390 70339 70341 70372 70393 70391],6
92,Atascosa County,TX,[78064 78065 78052 78026 78069 78011 78050 78012 78008],9
93,Atchison County,KS,[66002 66023 66041 66016 66058],5
94,Atchison County,MO,[64482 64491 64446 64498 64496],5
95,Athens County,OH,"[45701 45764 45710 45732 45780 45723 45735 45724 45761 45766 45711 45719
 45778 45716 45740 45782 43111 45739]",18
96,Atkinson County,GA,[31642 31650 31624],3
97,Atlantic County,NJ,"[8401 8234 8330 8205 8037 8232 8406 8203 8402 8215 8244 8201 8225 8221
 8403 8310 8341 8326 8319 8241 8317 8240 8350 8346 8095]",25
98,Atoka County,OK,[74525 74555 74533 74569 74576],5
99,Attala County,MS,[39090 39160 39108 39192 39067 39745],6
100,Audrain County,MO,[65265 63382 63352 65264 65285 63345 65232 65280],8
101,Audubon County,IA,[50025 50076 51543 50042 50117 50110],6
102,Auglaize County,OH,[45895 45885 45865 45869 45896 45871 45819 45888 43346 45870 45884],11
103,Augusta County,VA,"[24477 22939 24482 24421 24486 24431 24440 22843 22952 24467 24430 24479
 24459 24437 24476 24485 24432 24469 24442 24411]",20
104,Austin County,TX,[77474 77418 77485 78950 78933 78944 78931 77452 77473],9
105,Autauga County,AL,[36067 36066 36051 36003 36006 36749 36008],7
106,Avery County,NC,[28657 28622 28646 28616],4
107,Avoyelles Parish,LA,[71351 71322 71350 71327 71341 71355 71369 71362 71331 71323 71333 71330],12
108,Baca County,CO,[81073 81090 81064],3
109,Bacon County,GA,[31510],1
110,Bailey County,TX,[79347 79053],2
111,Baker County,FL,[32063 32040 32087 32072],4
112,Baker County,GA,[39870],1
113,Baker County,OR,[97814 97834 97833 97870 97907 97877 97884 97905 97840 97837 97819],11
114,Baldwin County,AL,"[36526 36532 36535 36542 36561 36507 36527 36567 36551 36530 36549 36580
 36576 36578 36555 36562 36579 36574 36564 36511 36559 36550]",22
115,Baldwin County,GA,[31061],1
116,Ballard County,KY,[42087 42056 42024],3
117,Baltimore City,MD,"[21215 21224 21218 21206 21229 21230 21217 21239 21212 21201 21213 21216
 21202 21223 21211 21231 21214 21210 21205 21226]",20
118,Baltimore County,MD,"[21234 21117 21222 21228 21207 21221 21220 21236 21093 21208 21244 21136
 21227 21237 21209 21133 21030 21286 21204 21128 21219 21131 21120 21152
 21087 21111 21162 21013 21057 21053 21155 21153 21082 21022 21071 21052
 21156 21051 21027 21023 21105 21020]",42
119,Bamberg County,SC,[29003 29042 29843 29081],4
120,Bandera County,TX,[78003 78063 78055 78883 78885],5
121,Banks County,GA,[30558 30547 30511],3
122,Bannock County,ID,[83201 83202 83204 83245 83250 83246 83203 83234 83214 83281],10
123,Baraga County,MI,[49946 49908 49861 49962 49970 49919],6
124,Barber County,KS,[67065],1
125,Barbour County,AL,[36027 36016 36005 36017 36048 36374],6
126,Barbour County,WV,[26416 26250 26405],3
127,Barnes County,ND,"[58072 58461 58492 58071 58031 58480 58429 58063 58049 58481 58479 58056
 58062]",13
128,Barnstable County,MA,"[2536 2649 2601 2664 2532 2631 2632 2540 2673 2645 2563 2657 2660 2675
 2633 2653 2648 2655 2537 2642 2556 2639 2635 2646 2638 2667 2559 2644
 2562 2670 2668 2630 2666 2671 2650 2543 2659 2652 2641 2647 2672 2534
 2561 2637]",44
129,Barnwell County,SC,[29812 29853 29817],3
130,Barren County,KY,[42141 42127 42160 42133 42123 42156 42131 42163],8
131,Barron County,WI,[54868 54728 54829 54812 54822 54817 54889 54805 54762 54733 54813 54841],12
132,Barrow County,GA,[30680 30011 30620 30666],4
133,Barry County,MI,[49058 49333 49046 49073 49060 49325 49050 48897 49035],9
134,Barry County,MO,[65708 65625 65734 65745 65647 65772 65658 65641 64874],9
135,Bartholomew County,IN,[47201 47203 47246 47232 47280 47244 47226 47247 47236],9
136,Barton County,KS,[67530 67544 67526 67525 67567 67511 67564],7
137,Barton County,MO,[64759 64762 64748 64769],4
138,Bartow County,GA,[30120 30121 30103 30145 30184 30178 30137],7
139,Bastrop County,TX,[78602 78621 78612 78957 78616 78659 78662 78650 78953],9
140,Bates County,MO,[64730 64720 64779 64752 64723 64722 64745],7
141,Bath County,KY,[40360 40371 40374 40358],4
142,Bath County,VA,[24445 24484 24487 24412],4
143,Baxter County,AR,[72653 72635 72642 72658 72626 72651 72537 72544 72531 72623 72617],11
144,Bay County,FL,[32404 32408 32405 32413 32401 32444 32407 32409 32466 32461 32438 32410],12
145,Bay County,MI,[48706 48708 48732 48650 48611 48631 48634 48747 48613],9
146,Bayfield County,WI,[54891 54847 54814 54821 54856 54850 54865 54832 54827 54844 54839],11
147,Baylor County,TX,[76380],1
148,Beadle County,SD,[57348],1
149,Bear Lake County,ID,[83254 83287 83261 83239 83272 83238 83220],7
150,Beaufort County,NC,[27889 27817 27810 27808 27806 27814 27860 27865 27821],9
151,Beaufort County,SC,"[29910 29926 29909 29928 29906 29902 29920 29907 29935 29940 29938 29941
 29915]",13
152,Beauregard Parish,LA,[70634 70657 70653 70652 70660 70662],6
153,Beaver County,OK,[73932 73950 73938 73931 73844],5
154,Beaver County,PA,"[15001 15010 15009 15061 15066 15003 15005 15074 15042 15059 15026 16115
 15052 15027 15050 16123 15043 16136 25109 15081 15077]",21
155,Beaver County,UT,[84713],1
156,Beaverhead County,MT,[59725 59762 59739 59761 59727 59746 59724 59736],8
157,Becker County,MN,[56501 56544 56554 56511 56569 56570 56578 56575 56521 56577],10
158,Beckham County,OK,[73644 73662 73645 73627 73668],5
159,Bedford County,PA,"[15522 15537 15545 16678 15554 15535 15559 16650 16664 15550 15521 16655
 16667 15533 15534 16695 16679 15539 17211 16659 16694 16633 16670 16672]",24
160,Bedford County,TN,[37160 37020 37183 37180],4
161,Bedford County,VA,[24551 24523 24121 24101 24095 24104 24556 24174 24122 24526 24536 24570],12
162,Bee County,TX,[78102 78389 78146 78162 78142 78391],6
163,Belknap County,NH,[3246 3249 3253 3220 3809 3225 3226 3269 3810 3237 3256 3837 3218],13
164,Bell County,KY,[40965 40977 40902 40813 40856 40939 40958 40863 40845 40995],10
165,Bell County,TX,"[76549 76542 76502 76513 76543 76548 76504 76541 76544 76501 76571 76559
 76579 76569 76534 76554 76533 76685]",18
166,Belmont County,OH,"[43950 43935 43906 43713 43912 43947 43718 43942 43719 43977 43933 43983
 43940 43934 43759 43951 43985 43916 43902 43905 43928 43909 43937]",23
167,Beltrami County,MN,[56601 56630 56676 56678 56727 56650 56647 56683 56667 56652 56663 56685],12
168,Ben Hill County,GA,[31750 31544],2
169,Benewah County,ID,[83861 83851 83830 83870 83866 83824],6
170,Bennington County,VT,"[5201 5255 5250 5257 5262 5261 5251 5340 5254 5350 5352 5152 5253 5252
 5776 5768]",16
171,Benson County,ND,[58348 58346],2
172,Bent County,CO,[81054 81057 81044],3
173,Benton County,AR,"[72758 72756 72712 72761 72715 72714 72719 72745 72751 72734 72736 72732
 72718 72722 72768 72739 72747]",17
174,Benton County,IA,"[52349 52208 52206 52332 52345 52351 52315 52346 52209 52318 52249 52229
 52313 52354 52257]",15
175,Benton County,IN,[47944 47970 47971 47921 47942 47917 47986],7
176,Benton County,MN,[56379 56329 56367 56357],4
177,Benton County,MO,[65355 65338 65325 65335],4
178,Benton County,MS,[38603 38642 38633 38647],4
179,Benton County,OR,[97330 97333 97370 97456 97324 97326],6
180,Benton County,TN,[38320 38221 38341 38333],4
181,Benton County,WA,[99336 99352 99337 99354 99353 99338 99350 99320 99346 99345],10
182,Benzie County,MI,[49635 49617 49650 49683 49616 49640 49628],7
183,Bergen County,NJ,"[7024 7601 7666 7410 7631 7026 7010 7675 7430 7621 7644 7652 7450 7071
 7407 7020 7070 7650 7646 7628 7031 7481 7446 7663 7670 7660 7022 7604
 7436 7057 7458 7661 7643 7073 7075 7452 7417 7657 7607 7463 7642 7605
 7656 7676 7645 7626 7624 7603 7649 7432 7630 7401 7662 7072 7677 7648
 7632 7647 7627 7640 7423 7641 7074 7606 7620 7608]",66
184,Berkeley County,SC,[29445 29461 29456 29410 29479 29431 29436 29450 29468 29453 29469 29434],12
185,Berkeley County,WV,[25404 25427 25401 25403 25405 25428 25419 25413 25420 25421],10
186,Berks County,PA,"[19606 19601 19607 19608 19604 19605 19512 19610 19602 19508 19518 19522
 19530 19526 19540 19609 19611 19560 19565 19506 19510 19533 19567 19543
 19551 19504 19547 19539 19541 19555 19505 19507 19529 19562 19534 19503
 18056 19554 19536 19545 19559 19550 19523 19544 19564 19535]",46
187,Berkshire County,MA,"[1201 1247 1220 1230 1240 1267 1238 1226 1225 1235 1223 1237 1257 1262
 1236 1266 1202 1254 1253 1245 1258 1029 1255 1222 1270 1256 1242 1259
 1264 1224 1343]",31
188,Bernalillo County,NM,"[87114 87111 87120 87121 87109 87112 87105 87123 87108 87110 87107 87106
 87102 87122 87113 87104 87059 87047 87116 87008]",20
189,Berrien County,GA,[31639 31645 31749 31622],4
190,Berrien County,MI,"[49120 49022 49085 49127 49103 49107 49038 49117 49098 49106 49128 49111
 49101 49125 49113 49126 49129 49102 49115 49116 49119]",21
191,Bertie County,NC,[27983 27805 27924 27957 27849 27847 27967 27872],8
192,Bexar County,TX,"[78245 78240 78249 78254 78251 78253 78209 78223 78228 78230 78258 78250
 78216 78247 78233 78109 78201 78213 78229 78227 78207 78232 78217 78218
 78210 78221 78212 78260 78237 78259 78239 78244 78023 78238 78242 78211
 78148 78261 78214 78222 78224 78220 78255 78256 78248 78219 78257 78204
 78202 78225 78264 78252 78231 78101 78112 78073 78226 78002 78215 78203
 78208 78263 78234 78205 78152]",65
193,Bibb County,AL,[35042 35184 35034 35188 35035 36792],6
194,Bibb County,GA,[31210 31204 31206 31217 31211 31216 31220 31201 31052],9
195,Bienville Parish,LA,[71001 71068 71016 71070 71028 71008 71045],7
196,Big Horn County,WY,"[82431 82426 82410 82420 82411 82412 82421 82441 82432 82423 82434 82428
 82422]",13
197,Big Stone County,MN,[56278 56240 56225 56211 56276 56227 56210],7
198,Bingham County,ID,[83221 83274 83210 83236 83262 83218 83277 83215],8
199,Black Hawk County,IA,[50613 50701 50702 50703 50707 50651 50643 50626 50634 50667 50623],11
200,Blackford County,IN,[47348 47359],2
201,Bladen County,NC,[28337 28320 28433 28456 28399 28392 28434 28448 28332],9
202,Blaine County,ID,[83333 83340 83353 83313 83320 83348],6
203,Blaine County,OK,[73772 73040 73763 73724 73755 73646 73744 73043 73770],9
204,Blair County,PA,"[16601 16602 16648 16686 16635 16673 16662 16693 16625 16617 16637 16665
 16682 16631]",14
205,Blanco County,TX,[78606 78636 78663 78635],4
206,Bland County,VA,[24315 24314 24366 24318],4
207,Bleckley County,GA,[31014],1
208,Bledsoe County,TN,[37367],1
209,Blount County,AL,[35121 35079 35031 35952 35049 35097],6
210,Blount County,TN,[37803 37801 37804 37777 37701 37737 37886 37882 37853 37878],10
211,Blue Earth County,MN,[56001 56055 56024 56063 56065 56037 56010 56080 56090 56034 56078],11
212,Boise County,ID,[83622 83629 83631 83637 83666 83602],6
213,Bolivar County,MS,[38732 38773 38774 38730 38759 38725],6
214,Bollinger County,MO,[63764 63662 63787 63782 63750],5
215,Bon Homme County,SD,[57066 57059 57062 57315 57063],5
216,Bond County,IL,[62246 62275 62262 62086 62253 62284 62273],7
217,Bonner County,ID,"[83864 83860 83856 83852 83804 83822 83811 83836 83813 83821 83840 83841
 83825 83848]",14
218,Bonneville County,ID,[83401 83402 83404 83406 83427 83428 83449 83454],8
219,Boone County,AR,[72601 72662 72644 72633 72615 72630],6
220,Boone County,IA,[50036 50156 50212 50223 50040 50152 50031],7
221,Boone County,IL,[61008 61065 61011 61012 61038],5
222,Boone County,IN,[46077 46052 46075 46071 46147 46102],6
223,Boone County,KY,[41042 41005 41091 41048 41094 41092 41080],7
224,Boone County,MO,[65203 65202 65201 65240 65010 65255 65039 65284 65256 65279],10
225,Boone County,NE,[68620 68660 68652 68627 68655],5
226,Boone County,WV,"[25053 25130 25181 25209 25081 25529 25154 25108 25049 25107 25165 25206
 25114 25024 25193 25148 25205 25047 25149 25203 25093 25021 25028 25204]",24
227,Bosque County,TX,[76634 76689 76665 76671 76690 76652 76649 76637  3575],9
228,Bossier Parish,LA,[71111 71112 71037 71006 71064 71067 71110 71051],8
229,Botetourt County,VA,[24175 24066 24064 24090 24083 24085 24077],7
230,Boulder County,CO,"[80504 80501 80503 80027 80026 80302 80301 80304 80303 80305 80540 80466
 80510 80481 80455 80025 80471]",17
231,Boundary County,ID,[83805 83847 83845],3
232,Bourbon County,KS,[66701 66779 66716 66754 66769 66738 66741],7
233,Bourbon County,KY,[40361 40357],2
234,Bowie County,TX,[75501 75503 75570 75559 75561 75569 75567 75574 75573],9
235,Box Butte County,NE,[69301 69348],2
236,Box Elder County,UT,"[84302 84337 84312 84340 84307 84314 84301 84324 84311 84309 84330 84306
 84334 84331 84329 84316]",16
237,Boyd County,KY,[41102 41129 41168 41101],4
238,Boyd County,NE,[68777 68746],2
239,Boyle County,KY,[40422 40440 40468 40464],4
240,Bracken County,KY,[41004 41002 41043],3
241,Bradford County,FL,[32091 32058 32044 32622],4
242,Bradford County,PA,"[18840 18848 18810 17724 16947 18853 16925 18837 18623 18850 16914 18833
 18832 18854 18831 18829 16926 18846 18851 18845 18817]",21
243,Bradley County,AR,[71671 71647 71631 71651],4
244,Bradley County,TN,[37312 37323 37311 37353 37336 37310 37320 37364],8
245,Branch County,MI,[49036 49082 49028 49094 49089 49255],6
246,Brantley County,GA,[31553 31543 31566 31542],4
247,Braxton County,WV,"[26601 26624 26623 26335 26610 26621 26619 26636 26376 26629 26627 26611
 26631 26615]",14
248,Brazoria County,TX,"[77584 77511 77581 77566 77515 77578 77531 77541 77422 77486 77480 77534
 77430 77577 77415]",15
249,Brazos County,TX,[77845 77840 77802 77803 77801 77808 77807],7
250,Breathitt County,KY,[41348 41385 41317 41390],4
251,Breckinridge County,KY,[40143 40146 40144 40111 40152 40140 40115 40178],8
252,Bremer County,IA,[50677 50674 50622 50647 50676 50668 50666 50631],8
253,Brevard County,FL,"[32935 32940 32780 32907 32955 32904 32909 32937 32905 32901 32927 32953
 32926 32931 32952 32796 32934 32920 32903 32922 32976 32951 32754 32908
 32950 32764 32949]",27
254,Brewster County,TX,[79830 79831 79852 79842 75687],5
255,Bristol City,VA,[24201 24202],2
256,Bristol County,MA,"[2780 2703 2740 2720 2721 2760 2745 2048 2790 2724 2747 2719 2766 2723
 2777 2726 2771 2746 2767 2748 2356 2769 2744 2375 2743 2718 2779 2717
 2702 2764 2715 2725 2763 2722 2791 2334 2714]",37
257,Bristol County,RI,[2809 2806 2885],3
258,Broadwater County,MT,[59644 59643 59641],3
259,Bronx County,NY,"[10467 10462 10456 10458 10453 10452 10468 10457 10466 10460 10472 10473
 10469 10461 10475 10459 10455 10465 10471 10470 10464]",21
260,Brooke County,WV,[26070 26037 26035 26032 26030 26075 26058],7
261,Brookings County,SD,[57006 57071 57026 57002 57276 57220 57061],7
262,Brooks County,GA,[31643 31625 31629 31638 31720],5
263,Brooks County,TX,[78355],1
264,Broome County,NY,"[13760 13905 13850 13901 13790 13903 13904 13865 13833 13862 13795 13748
 13754 13787 13746 13797 13744 13813 13802 13777 13826]",21
265,Broomfield County,CO,[80020 80023],2
266,Broward County,FL,"[33025 33024 33009 33063 33064 33027 33311 33313 33319 33321 33324 33021
 33023 33308 33312 33065 33020 33322 33062 33442 33068 33309 33060 33029
 33334 33071 33069 33351 33076 33317 33441 33326 33073 33026 33304 33019
 33314 33325 33301 33328 33066 33067 33028 33004 33323 33316 33331 33327
 33305 33315 33330 33332 33306]",53
267,Brown County,IN,[47448 46160],2
268,Brown County,KS,[66434 66439 66532 66424 66425 66515 66527],7
269,Brown County,MN,[56073 56085 56087 56041 56019],5
270,Brown County,NE,[69210 69217 69214],3
271,Brown County,OH,[45154 45121 45171 45118 45167 45130 45101 45168 45131 45119 45115],11
272,Brown County,SD,"[57401 57445 57427 57479 57441 57446 57481 57433 57460 57432 57474 57449
 57426]",13
273,Brown County,TX,[76801 76802 76823 76857 76432 76890 76827],7
274,Brown County,WI,"[54115 54313 54311 54302 54304 54303 54301 54162 54155 54208 54229 54173
 54126 54180]",14
275,Brunswick County,NC,[28451 28461 28462 28465 28467 28469 28470 28422 28468 28479 28420 28452],12
276,Brunswick County,VA,[23868 23920 23821 23856 23857 23889 23843 23887 23845 23893 23938 23876],12
277,Bryan County,GA,[31324 31308 31321],3
278,Bryan County,OK,"[74701 74730 73449 74733 74729 74726 74731 74723 74741 74748 74720 74721
 74753]",13
279,Buchanan County,IA,"[50644 50648 50629 50641 50682 52329 52210 50650 52326 50607 50671 50664
 13154]",13
280,Buchanan County,MO,[64506 64507 64505 64503 64501 64504 64401 64443 64484 64448 64440],11
281,Buchanan County,VA,[24614 24656 24620 24631 24603 24646 24634 24628 24607 24657],10
282,Buckingham County,VA,[23936 23921],2
283,Bucks County,PA,"[19020 19067 18974 18966 18951 19047 18901 18940 19053 18944 19007 18976
 18914 18902 19054 19057 18938 19056 18960 19030 19055 19021 18954 18929
 18925 18947 18977 18972 18942 18930 18917 18077 18955 18923 18920 18970
 18963 18912 18913 18932 18081 18962 18949 18980 18927 18950 18934 18911
 18928 18943 18935 18953 18910 18933 18916 18039 18921 18946 18956]",59
284,Buena Vista City,VA,[24416],1
285,Buena Vista County,IA,[50588 51002 50568 50585 50510 51033 50565 50576],8
286,Buffalo County,NE,[68845 68847 68840 68869 68836 68876 68866 68812 68870 68858 68861],11
287,Buffalo County,WI,[54755 54629 54622 54610 54756],5
288,Bullitt County,KY,[40165 40047 40150 40109],4
289,Bulloch County,GA,[30458 30461 30415 30450 30452],5
290,Bullock County,AL,[36089 36053 36029 36039],4
291,Buncombe County,NC,"[28806 28803 28715 28787 28704 28804 28805 28801 28711 28748 28778 28730
 28701 28709 28757 28770]",16
292,Bureau County,IL,"[61356 61362 61376 61361 61368 61330 61329 61322 61379 61349 61314 61345
 61320 61317 61337 61312 61344 61338 61359 61315 61374 61328]",22
293,Burke County,GA,[30830 30441 30456 30816 30426],5
294,Burke County,NC,[28655 28612 28690 28637 28667],5
295,Burleigh County,ND,[58503 58501 58504 58579 58558 58521 58572 58532],8
296,Burleson County,TX,[77836 77879 77878 77863 77852],5
297,Burlington County,NJ,"[8054 8053 8016 8075 8046 8055 8060 8088 8052 8057 8015 8077 8505 8048
 8010 8022 8065 8068 8036 8518 8562 8515 8554 8511 8019 8041 8224 8073
 8064 8042]",30
298,Burnet County,TX,[78654 78611 78605 78608],4
299,Burnett County,WI,[54893 54830 54840 54872 54845],5
300,Burt County,NE,[68061 68045 68038 68020 68019],5
301,Butler County,AL,[36037 36033 36456 36030],4
302,Butler County,IA,[50665 50619 50670 50636 50604 50602 50660 50625 50611 50605 50608 50649],12
303,Butler County,KS,"[67042 67002 67010 67133 67039 67144 67017 67074 67154 67123 67132 66842
 67072 67041 67012]",15
304,Butler County,KY,[42261 42275 42273 42252],4
305,Butler County,MO,[63901 63961 63940 63945 63932 63954],6
306,Butler County,NE,[68632 68624 68626 68658 68635 68036 68669 68014 68667 68001],10
